town,population
Stillwater,860
Stockbridge,861
Stockholm,862
Stockport,863
Stockton,864
Stony Creek,865
Stony Point,866
Stratford,867
Stuyvesant,868
Sullivan,869
Summerhill,870
Summit,871
Sweden,872
Syracuse,873
Taghkanic,874
Taylor,875
Theresa,876
Thompson,877
Throop,878
Thurman,879
Thurston,880
Ticonderoga,881
Tioga,882
Tompkins,883
Tonawanda,884
Tonawanda,885
Torrey,886
Trenton,887
Triangle,888
Troupsburg,889
Troy,890
Truxton,891
Tully,892
Tupper Lake,893
Turin,894
Tuscarora,895
Tusten,896
Tuxedo,897
Tyre,898
Tyrone,899
Ulster,900
Ulysses,901
Unadilla,902
Union,903
Union Vale,904
Urbana,905
Utica,906
Van Buren,907
Van Etten,908
Varick,909
Venice,910
Vernon,911
Verona,912
Vestal,913
Veteran,914
Victor,915
Victory,916
Vienna,917
Villenova,918
Virgil,919
Volney,920
Waddington,921
Wales,922
Wallkill,923
Walton,924
Walworth,925
Wappinger,926
Ward,927
Warren,928
Warrensburg,929
Warsaw,930
Warwick,931
Washington,932
Waterford,933
Waterloo,934
Watertown,935
Watertown,936
Watervliet,937
Watson,938
Waverly,939
Wawarsing,940
Wawayanda,941
Wayland,942
Wayne,943
Webb,944
Webster,945
Wells,946
Wellsville,947
West Almond,948
West Bloomfield,949
West Monroe,950
West Seneca,951
West Sparta,952
West Turin,953
West Union,954
Westerlo,955
Western,956
Westfield,957
Westford,958
Westmoreland,959
Westport,960
Westville,961
Wethersfield,962
Wheatfield,963
Wheatland,964
Wheeler,965
White Creek,966
White Plains,967
Whitehall,968
Whitestown,969
Willet,970
Williamson,971
Williamstown,972
Willing,973
Willsboro,974
Wilmington,975
Wilna,976
Wilson,977
Wilton,978
Windham,979
Windsor,980
Winfield,981
Wirt,982
Wolcott,983
Woodbury,984
Woodhull,985
Woodstock,986
Worcester,987
Worth,988
Wright,989
Yates,990
Yonkers,991
York,992
Yorkshire,993
Yorktown,994
